"osm_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
1712121567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,POINT (2542608.892866287 4978135.878557943)
1712121565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,POINT (2542882.6497580456 4977706.30101495)
693077618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,POINT (2543456.7355040153 4976805.494437075)
1712121557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,POINT (2543241.5326644136 4977143.176943566)
1712121570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tower,,,,,,,,,,,,,,,,,,,,,POINT (2542277.1385198245 4978656.44715059)
2795181328,,,,,,,,,,,,,,,,,,,,,,,"970",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2375577.2697240086 4993645.677302998)
1990964335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Кишава,,,,,village,,,,,,,,,,,,,,,,,,,,,,,POINT (2372538.481396283 4995777.962423274)
2791603234,,,,,,,,,,,,,,,,,,,,,,,"2196",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365799.9118683995 4996635.7843086505)
5094145552,,,,,,,,,,,,,,,,,,,,,,,"2334",,,,,,,,,,,,,,,,,Бојаџиев Врв,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2364746.52892287 4993805.541284018)
5094992700,,,,,,,,,,,,,,,,,,,,,,,"2264",,,,,,,,,,,,,,,,,Г167/3,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365079.99758949 4993392.82109122)
10313442707,,,,,,,,,,,,,,,,,,,,,,,"2330",,,,,,,,,,,,,,,,,Βαρνούντας (Περιστέρι),mountain_range,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365448.643215201 4993554.800826216)
2791603365,,,,,,,,,,,,,,,,,,,,,,,"2120",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365675.690448623 4992037.982145815)
5094479984,,,,,,,,,,,,,,,,,,,,,,,"2155",,,,,,,,,,,,,,,,,Бела Вода / Μπελαβόδα,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366614.670353465 4991623.806044541)
287223938,,,,,,,,,,,,,,,,,,,,,,,"2051",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2359684.7537528565 4994416.47580358)
8242680558,,,,,,,,,,,,,,,,,,,,,,,"2049",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360035.699579531 4994753.369638694)
5094078482,,,,,,,,,,,,,,,,,,,,,,,"2132",,,,,,,,,,,,,,,,,Стол,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2362372.0507884016 4994466.489417501)
4170172896,,,,,,,,,,,,,,,,,,,,,,,"2119",,,,,,,,,,,,,,,,,Балтан,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360743.7360687726 4995221.936743237)
2791603437,,,,,,,,,,,,,,,,,,,,,,,"2081",,,,,,,,,,,,,,,,,Лош Камен,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366170.6836963845 4999365.106899599)
2791603199,,,,,,,,,,,,,,,,,,,,,,,"2070",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365260.0679977974 5001054.924290201)
8941327667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бабини Кладенци,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366587.753300591 5002931.955770735)
